annotation.GeneID,counts.co01.bam,counts.co02.bam,counts.co03.bam,counts.co04.bam,counts.mono01.bam,counts.mono02.bam,counts.mono03.bam,counts.mono04.bam
NWMN_RS00005,17773,12805,20486,15396,2786,3902,1385,3997
NWMN_RS00010,14374,11018,16288,12868,3999,4292,1665,5973
NWMN_RS00015,5388,4100,5943,5323,3477,2573,2066,2259
NWMN_RS00020,18039,14145,21416,18623,7555,5594,4682,6117
NWMN_RS00025,32859,24506,35274,25967,6742,5864,4789,6980
NWMN_RS00030,38187,28749,42182,28313,5304,4985,3214,9731
NWMN_RS00035,2756,2684,5715,5900,420,937,235,1176
NWMN_RS00040,7557,9346,5287,6477,3800,5302,914,1752
NWMN_RS00045,6488,4577,19738,19494,8708,5914,3443,3557
NWMN_RS00050,509,370,734,656,135,363,53,283
NWMN_RS00055,510,373,531,462,141,292,44,201
NWMN_RS00060,1139,763,1098,1118,294,357,108,390
NWMN_RS00065,8138,7573,9872,9536,2764,3546,1169,3376
NWMN_RS00070,36880,27985,34540,27594,10903,12254,3560,7958
NWMN_RS00075,11363,8801,9903,7677,2876,3342,870,2094
NWMN_RS00080,17712,14583,14892,10925,3947,5477,1049,3596
NWMN_RS00085,1273,1091,937,526,116,240,49,359
NWMN_RS00090,31,20,34,36,2,1,12,2
NWMN_RS00095,91,114,197,148,16,25,6,104
NWMN_RS00100,14241,10555,12742,11152,5518,6675,2604,7031
NWMN_RS00105,31467,22202,25861,19210,11914,14640,5454,11573
NWMN_RS00110,25108,16994,17939,12438,8375,10141,3293,7259
NWMN_RS00115,12275,7966,8867,5926,3936,4884,1398,3258
NWMN_RS00120,1639,1339,2114,1900,501,471,237,974
NWMN_RS00125,888,635,897,593,131,147,44,161
NWMN_RS00130,927,897,1319,1300,173,233,78,221
NWMN_RS00135,114,165,234,153,82,111,26,229
NWMN_RS00140,29,41,56,35,28,28,6,86
NWMN_RS00145,3598,4862,5810,5714,905,1426,374,4000
NWMN_RS00150,1176,687,1004,896,536,903,231,995
NWMN_RS00155,99,80,57,44,39,135,20,62
NWMN_RS00160,1197,853,794,564,701,1616,305,1131
NWMN_RS00165,203,184,131,147,138,390,70,254
NWMN_RS00170,732,367,229,132,295,1064,165,687
NWMN_RS00175,1918,1013,768,449,1531,2877,836,1929
NWMN_RS00180,3797,2985,3607,2275,15793,14473,8149,12735
